lab_id	inhibitor	plot_name	type	min_conc	max_conc	inhibitor1	inhibitor2	auc	rescaled_auc	zscore
10004	A-674563	A-674563	single-agent	0.0137174211248285	10	A-674563		1.7354435958129	0.606220319134799	-1.55778886943162
10054	A-674563	A-674563	single-agent	0.0137174211248285	10	A-674563		1.93658767893376	0.676483409537623	-0.842145748300263
10058	A-674563	A-674563	single-agent	0.0137174211248285	10	A-674563		2.46900163300057	0.86246476780529	1.05211023930103
10139	A-674563	A-674563	single-agent	0.0137174211248285	10	A-674563		2.30705617832484	0.805894433020097	0.475930473836382
10159	A-674563	A-674563	single-agent	0.0137174211248285	10	A-674563		2.12965966920238	0.743926778967219	-0.155222028869461
10205	A-674563	A-674563	single-agent	0.0137174211248285	10	A-674563		2.38402200258332	0.832779920198718	0.749764343757817
10250	A-674563	A-674563	single-agent	0.0137174211248285	10	A-674563		2.01040747756396	0.702269935813696	-0.579505007029903
10289	A-674563	A-674563	single-agent	0.0137174211248285	10	A-674563		2.4253094668451	0.847202342120947	0.896659491402538
10290	A-674563	A-674563	single-agent	0.0137174211248285	10	A-674563		2.38330312192343	0.832528802810571	0.747206664748919
10292	A-674563	A-674563	single-agent	0.0137174211248285	10	A-674563		1.95258584799131	0.682071845356015	-0.785226452146511
10308	A-674563	A-674563	single-agent	0.0137174211248285	10	A-674563		2.11524669155904	0.738892077794729	-0.206501430905269
10320	A-674563	A-674563	single-agent	0.0137174211248285	10	A-674563		1.57079652546367	0.548706263493616	-2.14358061374584
10336	A-674563	A-674563	single-agent	0.0137174211248285	10	A-674563		2.27116452702232	0.79335686143933	0.348232890282512
10348	A-674563	A-674563	single-agent	0.0137174211248285	10	A-674563		1.94705523887954	0.680139908398321	-0.804903602501082
10356	A-674563	A-674563	single-agent	0.0137174211248285	10	A-674563		2.55791216669884	0.893522747588126	1.36844175077309
10404	A-674563	A-674563	single-agent	0.0137174211248285	10	A-674563		2.26300155199955	0.790505393759637	0.319190142256459
20003	A-674563	A-674563	single-agent	0.0137174211248285	10	A-674563		2.48733497369533	0.868868919270423	1.1173377565712
10004	ABSCISIC ACID	ABSCISIC ACID	single-agent	0.0137174211248285	10	ABSCISIC ACID		2.48158441182771	0.866860149029199	-1.91123093988596
10021	ABSCISIC ACID	ABSCISIC ACID	single-agent	0.0137174211248285	10	ABSCISIC ACID		2.53417705185958	0.885231663436919	-1.5371828355613
10054	ABSCISIC ACID	ABSCISIC ACID	single-agent	0.0137174211248285	10	ABSCISIC ACID		2.83769743854502	0.99125655881485	0.621507528618615
10058	ABSCISIC ACID	ABSCISIC ACID	single-agent	0.0137174211248285	10	ABSCISIC ACID		2.8316943341723	0.989159571129736	0.578812394673661
10139	ABSCISIC ACID	ABSCISIC ACID	single-agent	0.0137174211248285	10	ABSCISIC ACID		2.86272752831797	1	0.799525928626248
10159	ABSCISIC ACID	ABSCISIC ACID	single-agent	0.0137174211248285	10	ABSCISIC ACID		2.81737627597897	0.984158026954926	0.476979846971573
10205	ABSCISIC ACID	ABSCISIC ACID	single-agent	0.0137174211248285	10	ABSCISIC ACID		2.79137485078778	0.975075281589191	0.292053138660085
10250	ABSCISIC ACID	ABSCISIC ACID	single-agent	0.0137174211248285	10	ABSCISIC ACID		2.8445254533963	0.993641701928799	0.670069570947613
10289	ABSCISIC ACID	ABSCISIC ACID	single-agent	0.0137174211248285	10	ABSCISIC ACID		2.86272752831797	1	0.799525928626248
10290	ABSCISIC ACID	ABSCISIC ACID	single-agent	0.0137174211248285	10	ABSCISIC ACID		2.84088817485989	0.992371137929807	0.64420060638113
10292	ABSCISIC ACID	ABSCISIC ACID	single-agent	0.0137174211248285	10	ABSCISIC ACID		2.85733000666009	0.998114552780698	0.761137805440946
10308	ABSCISIC ACID	ABSCISIC ACID	single-agent	0.0137174211248285	10	ABSCISIC ACID		2.70594270723132	0.945232363354266	-0.315555289559599
10320	ABSCISIC ACID	ABSCISIC ACID	single-agent	0.0137174211248285	10	ABSCISIC ACID		2.62353395101935	0.916445566358471	-0.901660855322432
10326	ABSCISIC ACID	ABSCISIC ACID	single-agent	0.0137174211248285	10	ABSCISIC ACID		2.61625559460245	0.913903111184199	-0.953425806058735
10336	ABSCISIC ACID	ABSCISIC ACID	single-agent	0.0137174211248285	10	ABSCISIC ACID		2.45247223649657	0.856690765096162	-2.11828185021832
10348	ABSCISIC ACID	ABSCISIC ACID	single-agent	0.0137174211248285	10	ABSCISIC ACID		2.71345359115674	0.947856044389616	-0.262136562292742
10356	ABSCISIC ACID	ABSCISIC ACID	single-agent	0.0137174211248285	10	ABSCISIC ACID		2.85669331363731	0.997892144948839	0.756609532700464
10404	ABSCISIC ACID	ABSCISIC ACID	single-agent	0.0137174211248285	10	ABSCISIC ACID		2.86272752831797	1	0.799525928626248
20003	ABSCISIC ACID	ABSCISIC ACID	single-agent	0.0137174211248285	10	ABSCISIC ACID		2.86272752831797	1	0.799525928626248
10004	ALECTINIB	ALECTINIB	single-agent	0.0137174211248285	10	ALECTINIB		2.73541014065541	0.955525845054011	0.137178792468167
10021	ALECTINIB	ALECTINIB	single-agent	0.0137174211248285	10	ALECTINIB		2.75854512192321	0.963607292218978	0.240024400174171
10054	ALECTINIB	ALECTINIB	single-agent	0.0137174211248285	10	ALECTINIB		2.71637019332011	0.948874863726949	0.0525374896841485
10058	ALECTINIB	ALECTINIB	single-agent	0.0137174211248285	10	ALECTINIB		2.77661626157761	0.969919852347611	0.320358908258865
10139	ALECTINIB	ALECTINIB	single-agent	0.0137174211248285	10	ALECTINIB		2.83316940030298	0.989674837118585	0.571763560485168
10159	ALECTINIB	ALECTINIB	single-agent	0.0137174211248285	10	ALECTINIB		2.84022833415113	0.992140644212805	0.603143760579808
10205	ALECTINIB	ALECTINIB	single-agent	0.0137174211248285	10	ALECTINIB		2.83143499970167	0.989068981135381	0.564053353946296
10250	ALECTINIB	ALECTINIB	single-agent	0.0137174211248285	10	ALECTINIB		2.80292832949591	0.979111110564827	0.437328123999106
10289	ALECTINIB	ALECTINIB	single-agent	0.0137174211248285	10	ALECTINIB		2.73214153662048	0.954384065404149	0.122648347665477
10290	ALECTINIB	ALECTINIB	single-agent	0.0137174211248285	10	ALECTINIB		2.79095294035986	0.974927901014637	0.384092024131271
10292	ALECTINIB	ALECTINIB	single-agent	0.0137174211248285	10	ALECTINIB		2.7027868449977	0.94412996635616	-0.00784672661276963
10308	ALECTINIB	ALECTINIB	single-agent	0.0137174211248285	10	ALECTINIB		2.71738022971228	0.949227686823867	0.0570275649237112
10320	ALECTINIB	ALECTINIB	single-agent	0.0137174211248285	10	ALECTINIB		2.66323484889824	0.930313773334569	-0.183673498536597
10326	ALECTINIB	ALECTINIB	single-agent	0.0137174211248285	10	ALECTINIB		2.77827805722795	0.970500346171733	0.327746352474328
10336	ALECTINIB	ALECTINIB	single-agent	0.0137174211248285	10	ALECTINIB		2.79537236110182	0.976471680748558	0.403738377273014
10348	ALECTINIB	ALECTINIB	single-agent	0.0137174211248285	10	ALECTINIB		2.45887767678092	0.858928295640366	-1.09213490216618
10356	ALECTINIB	ALECTINIB	single-agent	0.0137174211248285	10	ALECTINIB		1.84987207596401	0.646192156838245	-3.79944425277106
10404	ALECTINIB	ALECTINIB	single-agent	0.0137174211248285	10	ALECTINIB		2.86272752831797	1	0.703163002877861
20003	ALECTINIB	ALECTINIB	single-agent	0.0137174211248285	10	ALECTINIB		2.74016027540867	0.957185148884456	0.158295321145206
10004	ALISERTIB	ALISERTIB	single-agent	0.0137174211248285	10	ALISERTIB		1.77488656843544	0.619998428379347	-2.29535294552881
10021	ALISERTIB	ALISERTIB	single-agent	0.0137174211248285	10	ALISERTIB		2.23828746656754	0.781872338329966	-0.787464619922717
10054	ALISERTIB	ALISERTIB	single-agent	0.0137174211248285	10	ALISERTIB		2.44973837786128	0.855735781218638	-0.0994116578680084
10058	ALISERTIB	ALISERTIB	single-agent	0.0137174211248285	10	ALISERTIB		2.6651660417951	0.93098837225387	0.60158150111759
10139	ALISERTIB	ALISERTIB	single-agent	0.0137174211248285	10	ALISERTIB		2.83838271307481	0.991495937003314	1.16522174755616
10159	ALISERTIB	ALISERTIB	single-agent	0.0137174211248285	10	ALISERTIB		2.30187838151093	0.804085739470785	-0.580542279797222
10205	ALISERTIB	ALISERTIB	single-agent	0.0137174211248285	10	ALISERTIB		2.55028678667779	0.890859071095823	0.227768916066618
10250	ALISERTIB	ALISERTIB	single-agent	0.0137174211248285	10	ALISERTIB		2.53149721510943	0.884295550333717	0.16662838801567
10289	ALISERTIB	ALISERTIB	single-agent	0.0137174211248285	10	ALISERTIB		2.4970830636634	0.872274094884113	0.0546460905918186
10290	ALISERTIB	ALISERTIB	single-agent	0.0137174211248285	10	ALISERTIB		2.07477153286324	0.724753408188413	-1.3195390472213
10292	ALISERTIB	ALISERTIB	single-agent	0.0137174211248285	10	ALISERTIB		2.80439204313454	0.979622410932795	1.05461744232267
10308	ALISERTIB	ALISERTIB	single-agent	0.0137174211248285	10	ALISERTIB		2.61052114719463	0.91189997000115	0.423769159893923
10320	ALISERTIB	ALISERTIB	single-agent	0.0137174211248285	10	ALISERTIB		2.31874316844382	0.809976899829592	-0.525664925367294
10326	ALISERTIB	ALISERTIB	single-agent	0.0137174211248285	10	ALISERTIB		2.04404649204135	0.714020622578198	-1.41951712353893
10336	ALISERTIB	ALISERTIB	single-agent	0.0137174211248285	10	ALISERTIB		2.27115234899267	0.793352607443959	-0.680523583055894
10348	ALISERTIB	ALISERTIB	single-agent	0.0137174211248285	10	ALISERTIB		2.73984607732461	0.957075394085595	0.844587404180599
10356	ALISERTIB	ALISERTIB	single-agent	0.0137174211248285	10	ALISERTIB		2.72267282299021	0.951076480753982	0.78870630893911
10404	ALISERTIB	ALISERTIB	single-agent	0.0137174211248285	10	ALISERTIB		2.82941784019374	0.988364352599142	1.1360504032355
20003	ALISERTIB	ALISERTIB	single-agent	0.0137174211248285	10	ALISERTIB		2.86272752831797	1	1.24443882038051
10004	ANASTRAZOLE	ANASTRAZOLE	single-agent	0.0137174211248285	10	ANASTRAZOLE		2.45065602794421	0.856056332187548	0.404766075437181
10021	ANASTRAZOLE	ANASTRAZOLE	single-agent	0.0137174211248285	10	ANASTRAZOLE		2.16045866942072	0.754685399867629	-0.799471914649413
10054	ANASTRAZOLE	ANASTRAZOLE	single-agent	0.0137174211248285	10	ANASTRAZOLE		2.65008529929665	0.925720409323668	1.23234185393433
10058	ANASTRAZOLE	ANASTRAZOLE	single-agent	0.0137174211248285	10	ANASTRAZOLE		2.38898749218994	0.834514451186213	0.148858875157494
10139	ANASTRAZOLE	ANASTRAZOLE	single-agent	0.0137174211248285	10	ANASTRAZOLE		2.31079157386307	0.807199270976656	-0.175632346947466
10159	ANASTRAZOLE	ANASTRAZOLE	single-agent	0.0137174211248285	10	ANASTRAZOLE		1.95957694563977	0.684513956098064	-1.63307496507663
10205	ANASTRAZOLE	ANASTRAZOLE	single-agent	0.0137174211248285	10	ANASTRAZOLE		2.16952068950569	0.757850919462258	-0.76186706218357
10250	ANASTRAZOLE	ANASTRAZOLE	single-agent	0.0137174211248285	10	ANASTRAZOLE		2.05697035321378	0.718535149736158	-1.22891952416791
10289	ANASTRAZOLE	ANASTRAZOLE	single-agent	0.0137174211248285	10	ANASTRAZOLE		2.4011534784412	0.838764239589377	0.199344320322074
10290	ANASTRAZOLE	ANASTRAZOLE	single-agent	0.0137174211248285	10	ANASTRAZOLE		2.70999512462386	0.946647942501236	1.48095089712327
10292	ANASTRAZOLE	ANASTRAZOLE	single-agent	0.0137174211248285	10	ANASTRAZOLE		2.34636126048233	0.819624374751779	-0.0280280815595271
10308	ANASTRAZOLE	ANASTRAZOLE	single-agent	0.0137174211248285	10	ANASTRAZOLE		2.23702620058045	0.781431756411285	-0.481738044503843
10320	ANASTRAZOLE	ANASTRAZOLE	single-agent	0.0137174211248285	10	ANASTRAZOLE		2.15720449416215	0.753548660437705	-0.812975833129942
10326	ANASTRAZOLE	ANASTRAZOLE	single-agent	0.0137174211248285	10	ANASTRAZOLE		2.34609119617774	0.819530036641736	-0.0291487729986568
10336	ANASTRAZOLE	ANASTRAZOLE	single-agent	0.0137174211248285	10	ANASTRAZOLE		2.83259926442821	0.989475678844131	1.98972383580712
10348	ANASTRAZOLE	ANASTRAZOLE	single-agent	0.0137174211248285	10	ANASTRAZOLE		2.40025505506714	0.83845040484081	0.195616114235924
10356	ANASTRAZOLE	ANASTRAZOLE	single-agent	0.0137174211248285	10	ANASTRAZOLE		2.48864712465527	0.869327276185974	0.562418516442469
10404	ANASTRAZOLE	ANASTRAZOLE	single-agent	0.0137174211248285	10	ANASTRAZOLE		2.63523282122835	0.920532183087892	1.17070821802608
20003	ANASTRAZOLE	ANASTRAZOLE	single-agent	0.0137174211248285	10	ANASTRAZOLE		2.00758085180395	0.70128254678276	-1.43387216126898
10004	ANWULIGNAN	ANWULIGNAN	single-agent	0.0137174211248285	10	ANWULIGNAN		2.81400432892737	0.982980147810563	0.393092933213375
10021	ANWULIGNAN	ANWULIGNAN	single-agent	0.0137174211248285	10	ANWULIGNAN		2.5407147886919	0.887515407442469	-1.23540394057547
10054	ANWULIGNAN	ANWULIGNAN	single-agent	0.0137174211248285	10	ANWULIGNAN		2.72989814762502	0.953600411013967	-0.108084876955229
10058	ANWULIGNAN	ANWULIGNAN	single-agent	0.0137174211248285	10	ANWULIGNAN		2.74797325581077	0.959914357418909	-0.000377654979110817
10139	ANWULIGNAN	ANWULIGNAN	single-agent	0.0137174211248285	10	ANWULIGNAN		2.86272752831797	1	0.683428149922457
10159	ANWULIGNAN	ANWULIGNAN	single-agent	0.0137174211248285	10	ANWULIGNAN		2.65750957330387	0.928313836023827	-0.539438989075485
10205	ANWULIGNAN	ANWULIGNAN	single-agent	0.0137174211248285	10	ANWULIGNAN		2.86272752831797	1	0.683428149922457
10250	ANWULIGNAN	ANWULIGNAN	single-agent	0.0137174211248285	10	ANWULIGNAN		2.86272752831797	1	0.683428149922457
10289	ANWULIGNAN	ANWULIGNAN	single-agent	0.0137174211248285	10	ANWULIGNAN		2.86272752831797	1	0.683428149922457
10290	ANWULIGNAN	ANWULIGNAN	single-agent	0.0137174211248285	10	ANWULIGNAN		2.25397474959102	0.78735217630557	-2.94405059007232
10292	ANWULIGNAN	ANWULIGNAN	single-agent	0.0137174211248285	10	ANWULIGNAN		2.86272752831797	1	0.683428149922457
10308	ANWULIGNAN	ANWULIGNAN	single-agent	0.0137174211248285	10	ANWULIGNAN		2.86272752831797	1	0.683428149922457
10320	ANWULIGNAN	ANWULIGNAN	single-agent	0.0137174211248285	10	ANWULIGNAN		2.63322139443596	0.919829557087863	-0.684169092255943
10326	ANWULIGNAN	ANWULIGNAN	single-agent	0.0137174211248285	10	ANWULIGNAN		2.48628551044933	0.868502323694833	-1.55974094002389
10336	ANWULIGNAN	ANWULIGNAN	single-agent	0.0137174211248285	10	ANWULIGNAN		2.86272752831797	1	0.683428149922457
10348	ANWULIGNAN	ANWULIGNAN	single-agent	0.0137174211248285	10	ANWULIGNAN		2.75372809879813	0.961924623128947	0.0339147069092552
10356	ANWULIGNAN	ANWULIGNAN	single-agent	0.0137174211248285	10	ANWULIGNAN		2.83083841985058	0.988860585524836	0.493405094512717
10404	ANWULIGNAN	ANWULIGNAN	single-agent	0.0137174211248285	10	ANWULIGNAN		2.86272752831797	1	0.683428149922457
20003	ANWULIGNAN	ANWULIGNAN	single-agent	0.0137174211248285	10	ANWULIGNAN		2.86272752831797	1	0.683428149922457
10004	APTO-253	APTO-253	single-agent	0.0137174211248285	10	APTO-253		2.7421754005153	0.957889066769303	1.12925328511277
10139	APTO-253	APTO-253	single-agent	0.0137174211248285	10	APTO-253		2.19270414077028	0.765949298031387	-1.4060146285926
10250	APTO-253	APTO-253	single-agent	0.0137174211248285	10	APTO-253		2.49158746163565	0.870354386503422	-0.026962894961788
10289	APTO-253	APTO-253	single-agent	0.0137174211248285	10	APTO-253		2.77736507525695	0.970181425854671	1.2916189260521
10290	APTO-253	APTO-253	single-agent	0.0137174211248285	10	APTO-253		2.20953176325892	0.771827476210127	-1.32837174809111
10320	APTO-253	APTO-253	single-agent	0.0137174211248285	10	APTO-253		2.710578830139	0.946851840884637	0.98346627689812
10326	APTO-253	APTO-253	single-agent	0.0137174211248285	10	APTO-253		2.2724471102631	0.793804889841645	-1.03807947581949
10336	APTO-253	APTO-253	single-agent	0.0137174211248285	10	APTO-253		2.66346136683952	0.930392899950371	0.766065656283682
10348	APTO-253	APTO-253	single-agent	0.0137174211248285	10	APTO-253		2.43814324544734	0.851685401886603	-0.273555240006794
10356	APTO-253	APTO-253	single-agent	0.0137174211248285	10	APTO-253		2.33547753904007	0.815822503517231	-0.747256214672951
10404	APTO-253	APTO-253	single-agent	0.0137174211248285	10	APTO-253		2.42753602853408	0.847980118443339	-0.322497084037666
20003	APTO-253	APTO-253	single-agent	0.0137174211248285	10	APTO-253		2.70816593416277	0.946008974788452	0.972333141835716
10004	AT-7519	AT-7519	single-agent	0.0137174211248285	10	AT-7519		1.4566447812845	0.508831094428454	-1.85062073304208
10021	AT-7519	AT-7519	single-agent	0.0137174211248285	10	AT-7519		1.47850846042772	0.51646845387917	-1.74174127846125
10054	AT-7519	AT-7519	single-agent	0.0137174211248285	10	AT-7519		1.73954720765008	0.607653781382459	-0.44178822683388
10058	AT-7519	AT-7519	single-agent	0.0137174211248285	10	AT-7519		1.95486626004857	0.682868432538939	0.630484231631847
10139	AT-7519	AT-7519	single-agent	0.0137174211248285	10	AT-7519		1.62324280572416	0.567026651913991	-1.02097527783712
10159	AT-7519	AT-7519	single-agent	0.0137174211248285	10	AT-7519		1.76361870381344	0.616062369320097	-0.32191401188394
10205	AT-7519	AT-7519	single-agent	0.0137174211248285	10	AT-7519		1.99757113839236	0.697785981597088	0.843151268664116
10250	AT-7519	AT-7519	single-agent	0.0137174211248285	10	AT-7519		2.0937001123913	0.731365486823496	1.32186622737972
10289	AT-7519	AT-7519	single-agent	0.0137174211248285	10	AT-7519		1.9060368552006	0.665811480955196	0.387317519729133
10290	AT-7519	AT-7519	single-agent	0.0137174211248285	10	AT-7519		1.84185558857833	0.643391859811587	0.0676997070836473
10292	AT-7519	AT-7519	single-agent	0.0137174211248285	10	AT-7519		1.72059311018378	0.601032788892323	-0.536178186578702
10308	AT-7519	AT-7519	single-agent	0.0137174211248285	10	AT-7519		2.02067204213946	0.705855524897519	0.958192007408588
10320	AT-7519	AT-7519	single-agent	0.0137174211248285	10	AT-7519		2.06188763989615	0.720252842612524	1.16344254070512
10326	AT-7519	AT-7519	single-agent	0.0137174211248285	10	AT-7519		1.76986114018833	0.618242959793044	-0.290827154850335
10336	AT-7519	AT-7519	single-agent	0.0137174211248285	10	AT-7519		2.09397680739064	0.731462141149344	1.32324414737278
10348	AT-7519	AT-7519	single-agent	0.0137174211248285	10	AT-7519		1.83439628934205	0.640786198196048	0.0305529658109767
10356	AT-7519	AT-7519	single-agent	0.0137174211248285	10	AT-7519		2.0016530152072	0.69921185142733	0.863478703875442
10404	AT-7519	AT-7519	single-agent	0.0137174211248285	10	AT-7519		1.54098496056713	0.538292570747223	-1.43061307287713
20003	AT-7519	AT-7519	single-agent	0.0137174211248285	10	AT-7519		1.83734325353047	0.641815623511336	0.0452286227030618
10004	AXITINIB	AXITINIB	single-agent	0.0137174211248285	10	AXITINIB		2.49887503117582	0.872900059980232	-0.221031871792707
10021	AXITINIB	AXITINIB	single-agent	0.0137174211248285	10	AXITINIB		2.49268975018917	0.870739434868179	-0.256362370760206
10054	AXITINIB	AXITINIB	single-agent	0.0137174211248285	10	AXITINIB		2.22981292653799	0.778912035630627	-1.75792218132202
10058	AXITINIB	AXITINIB	single-agent	0.0137174211248285	10	AXITINIB		2.6428555405466	0.92319493015091	0.601388847434536
10139	AXITINIB	AXITINIB	single-agent	0.0137174211248285	10	AXITINIB		2.53753133891543	0.886403373640796	-0.000225954708417774
10159	AXITINIB	AXITINIB	single-agent	0.0137174211248285	10	AXITINIB		2.38483480447054	0.833063845888182	-0.872432854312286
10205	AXITINIB	AXITINIB	single-agent	0.0137174211248285	10	AXITINIB		2.33398272733992	0.8153003400611	-1.16290134918523
