lab_id	sample_type	sample_status	barcode
10250	Tissue	Normal	10250-T-N-RN
10250	Tissue	Tumor	10250-T-T-RN
10250	Cells	Tumor	10250-C-T-RN
10004	Cells	Tumor	10004-C-T-RN
10004	Tissue	Tumor	10004-T-T-RN
10004	Tissue	Normal	10004-T-N-RN
10021	Cells	Tumor	10021-C-T-RN
10021	Tissue	Normal	10021-T-N-RN
10058	Cells	Tumor	10058-C-T-RN
10058	Tissue	Tumor	10058-T-T-RN
10058	Tissue	Normal	10058-T-N-RN
10159	Cells	Tumor	10159-C-T-RN
10159	Tissue	Tumor	10159-T-T-RN
10159	Tissue	Normal	10159-T-N-RN
10205	Cells	Tumor	10205-C-T-RN
10205	Tissue	Tumor	10205-T-T-RN
10289	Cells	Tumor	10289-C-T-RN
10290	Cells	Tumor	10290-C-T-RN
10292	Cells	Tumor	10292-C-T-RN
10308	Cells	Tumor	10308-C-T-RN
10290	Tissue	Normal	10290-T-N-RN
10292	Tissue	Normal	10292-T-N-RN
10308	Tissue	Normal	10308-T-N-RN
10289	Tissue	Tumor	10289-T-T-RN
10290	Tissue	Tumor	10290-T-T-RN
10292	Tissue	Tumor	10292-T-T-RN
10308	Tissue	Tumor	10308-T-T-RN
10314	Cells	Tumor	10314-C-T-RN
10314	Tissue	Normal	10314-T-N-RN
10314	Tissue	Tumor	10314-T-T-RN
10320	Cells	Tumor	10320-C-T-RN
10320	Tissue	Normal	10320-T-N-RN
10320	Tissue	Tumor	10320-T-T-RN
10326	Cells	Tumor	10326-C-T-RN
10348	Cells	Tumor	10348-C-T-RN
10356	Cells	Tumor	10356-C-T-RN
20003	Cells	Tumor	20003-C-T-RN
10348	Tissue	Normal	10348-T-N-RN
20003	Tissue	Normal	20003-T-N-RN
10326	Tissue	Tumor	10326-T-T-RN
10348	Tissue	Tumor	10348-T-T-RN
10356	Tissue	Tumor	10356-T-T-RN
20003	Tissue	Tumor	20003-T-T-RN
