inhibitor	Gene	num_refs	num_dist_vals	category	best_category
A-674563	PRKACA	3	3	3	3
MK-2206	AKT1	3	3	3	3
ALECTINIB	ALK	3	4	3	3
ALISERTIB	AURKB	3	3	3	3
ALISERTIB	AURKA	8	8	3	3
FLAVOPIRIDOL	CDK9	11	9	3	3
FLAVOPIRIDOL	CDK1	14	5	3	3
FLAVOPIRIDOL	CCNT1	5	5	3	3
FLAVOPIRIDOL	CDK4	5	6	3	3
FLAVOPIRIDOL	CDK5	3	3	3	3
FLAVOPIRIDOL	CDK2	4	4	3	3
ANASTRAZOLE	CYP19A1	7	7	3	3
AXITINIB	ABL1	3	12	3	3
AXITINIB	PLK4	6	5	3	3
AXITINIB	KDR	5	4	3	3
BMX-IN-1	BTK	1	1	1	1
BMX-IN-1	BMX	1	1	1	1
BELINOSTAT	HDAC6	7	6	3	3
BELINOSTAT	HDAC8	4	3	3	3
BELINOSTAT	HDAC1	9	9	3	3
BELINOSTAT	HDAC2	5	5	3	3
BELINOSTAT	HDAC7	4	3	3	3
BELINOSTAT	HDAC3	5	4	3	3
BORTEZOMIB	PSMC3	3	3	3	3
BORTEZOMIB	PSMB5	15	12	3	3
BORTEZOMIB	PSMD6	3	3	3	3
BORTEZOMIB	PSMC2	3	3	3	3
BORTEZOMIB	PSMD11	3	3	3	3
BORTEZOMIB	PSMB4	3	3	3	3
BORTEZOMIB	PSMD12	3	3	3	3
BORTEZOMIB	PSMD8	3	3	3	3
BORTEZOMIB	PSMC6	3	3	3	3
BORTEZOMIB	PSMA5	3	3	3	3
BORTEZOMIB	PSMA3	3	3	3	3
BORTEZOMIB	PSMB10	3	3	3	3
BORTEZOMIB	PSMB1	4	4	3	3
BORTEZOMIB	PSMC5	3	3	3	3
BORTEZOMIB	PSMB2	3	3	3	3
BORTEZOMIB	PSMD1	3	3	3	3
BORTEZOMIB	PSMB11	3	3	3	3
BORTEZOMIB	PSMD4	3	3	3	3
BORTEZOMIB	PSMA1	3	3	3	3
BORTEZOMIB	ADRM1	3	3	3	3
BORTEZOMIB	PSMA6	3	3	3	3
BORTEZOMIB	PSMD14	3	3	3	3
BORTEZOMIB	PSMB3	3	3	3	3
BORTEZOMIB	PSMD13	3	3	3	3
BORTEZOMIB	PSMA2	3	3	3	3
BORTEZOMIB	PSMB7	3	3	3	3
BORTEZOMIB	PSMB6	3	3	3	3
BORTEZOMIB	PSMD2	3	3	3	3
BORTEZOMIB	PSMD7	3	3	3	3
BORTEZOMIB	PSMD3	3	3	3	3
BORTEZOMIB	PSMA7	3	3	3	3
BORTEZOMIB	PSMA4	3	3	3	3
BORTEZOMIB	PSMA8	3	3	3	3
BORTEZOMIB	PSMC1	3	3	3	3
BORTEZOMIB	PSMC4	3	3	3	3
BORTEZOMIB	PSMB8	4	5	3	3
BORTEZOMIB	SEM1	3	3	3	3
