gene_id	gene_name	gene_type	param	colors	labels	module	kme
ENSG00000001561.7	ENPP4	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.5701346077655496
ENSG00000002746.15	HECW1	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.4395503747708431
ENSG00000002822.15	MAD1L1	protein_coding	twok_3p_v1	green	5	Mod5 (green)	0.39899710142176187
ENSG00000002933.9	TMEM176A	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.8423395541246126
ENSG00000003137.8	CYP26B1	protein_coding	twok_3p_v1	red	6	Mod6 (red)	0.6679218275797023
ENSG00000003147.19	ICA1	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.6890503624361219
ENSG00000003249.15	DBNDD1	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.48146521149980104
ENSG00000003989.18	SLC7A2	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.5831354714285318
ENSG00000004468.13	CD38	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.31866957257327216
ENSG00000004799.8	PDK4	protein_coding	twok_3p_v1	magenta	9	Mod9 (magenta)	0.7044998896354792
ENSG00000005001.10	PRSS22	protein_coding	twok_3p_v1	yellow	4	Mod4 (yellow)	0.5649937156964497
ENSG00000005102.14	MEOX1	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.41372909926408363
ENSG00000005108.16	THSD7A	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.7275329039656139
ENSG00000005249.13	PRKAR2B	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.6714872999469139
ENSG00000005379.17	TSPOAP1	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.7000066044796239
ENSG00000005844.19	ITGAL	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.955709021011337
ENSG00000006016.11	CRLF1	protein_coding	twok_3p_v1	grey	0	Mod0 (grey)	0.30023144661155055
ENSG00000006210.7	CX3CL1	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.5245361964491138
ENSG00000006468.14	ETV1	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.6583440703883048
ENSG00000006747.15	SCIN	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.4807709796205194
ENSG00000007264.15	MATK	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.48808610262937374
ENSG00000007516.14	BAIAP3	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.34253729923963244
ENSG00000007908.16	SELE	protein_coding	twok_3p_v1	purple	10	Mod10 (purple)	0.557177089775823
ENSG00000007933.13	FMO3	protein_coding	twok_3p_v1	purple	10	Mod10 (purple)	0.5456484230584076
ENSG00000008277.14	ADAM22	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.6693221994735901
ENSG00000008300.17	CELSR3	protein_coding	twok_3p_v1	grey	0	Mod0 (grey)	-0.034057003350933215
ENSG00000008323.15	PLEKHG6	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.6524691239213728
